checkpoint,layer_idx,head_idx,baseline_loss,perturbed_loss,delta,elapsed_sec
1000,0,0,4.6371598815917965,4.6377801513671875,-0.00013376070509306235,7.033028841018677
1000,0,3,4.6371598815917965,4.638184452056885,-0.0002209478411895802,7.051983833312988
1000,0,6,4.6371598815917965,4.640640811920166,-0.0007506599766352469,7.0599164962768555
1000,0,9,4.6371598815917965,4.636878261566162,6.073114424036559e-05,7.074334383010864
1000,0,12,4.6371598815917965,4.637559566497803,-8.619174585569661e-05,7.080111265182495
1000,0,15,4.6371598815917965,4.638414821624756,-0.00027062686321019337,7.08968710899353
1000,1,0,4.6371598815917965,4.6412721824646,-0.0008868145541256609,7.094198226928711
1000,1,3,4.6371598815917965,4.641160793304444,-0.0008627935664952246,7.106050968170166
1000,1,6,4.6371598815917965,4.637924404144287,-0.0001648687067110438,7.1071507930755615
1000,1,9,4.6371598815917965,4.643027172088623,-0.0012652767311557133,7.107141017913818
1000,1,12,4.6371598815917965,4.636922779083252,5.113097555367234e-05,7.115538120269775
1000,1,15,4.6371598815917965,4.676627979278565,-0.00851126523444779,7.1231529712677
1000,2,0,4.6371598815917965,4.637739849090576,-0.000125069549808315,7.124940633773804
1000,2,3,4.6371598815917965,4.636970272064209,4.088915034825141e-05,7.1265869140625
1000,2,6,4.6371598815917965,4.63755313873291,-8.480560324752222e-05,7.123597621917725
1000,2,9,4.6371598815917965,4.637566375732422,-8.766015212002483e-05,7.1273581981658936
1000,2,12,4.6371598815917965,4.638847732543946,-0.00036398377352686736,7.125614881515503
1000,2,15,4.6371598815917965,4.639675083160401,-0.0005424013044253511,7.12891149520874
1000,3,0,4.6371598815917965,4.652755718231202,-0.0033632303042463864,7.129905462265015
1000,3,3,4.6371598815917965,4.640731391906738,-0.0007701934818161618,7.128534317016602
1000,3,6,4.6371598815917965,4.6426020431518555,-0.0011735979994269524,7.1291210651397705
1000,3,9,4.6371598815917965,4.637507820129395,-7.503268088288678e-05,7.13087272644043
1000,3,12,4.6371598815917965,4.637634868621826,-0.00010243059160313998,7.129605770111084
1000,3,15,4.6371598815917965,4.654123363494873,-0.0036581619647009286,7.129276275634766
1000,4,0,4.6371598815917965,4.639333362579346,-0.00046870952113974457,7.132167339324951
1000,4,3,4.6371598815917965,4.637260456085205,-2.1688812975247993e-05,7.135983228683472
1000,4,6,4.6371598815917965,4.6413131523132325,-0.000895649670808917,7.134982109069824
1000,4,9,4.6371598815917965,4.6374616622924805,-6.507877847429154e-05,7.132735967636108
1000,4,12,4.6371598815917965,4.637041873931885,2.5448262066591912e-05,7.133979082107544
1000,4,15,4.6371598815917965,4.81543607711792,-0.03844512591291694,7.133715867996216
1000,5,0,4.6371598815917965,4.638424568176269,-0.0002727286996278063,7.132293462753296
1000,5,3,4.6371598815917965,4.6374459648132325,-6.16936290188402e-05,7.136139869689941
1000,5,6,4.6371598815917965,4.640893459320068,-0.000805143196182024,7.133179664611816
1000,5,9,4.6371598815917965,4.649140014648437,-0.002583506577851329,7.131987810134888
1000,5,12,4.6371598815917965,4.638919048309326,-0.00037936296406617206,7.132770776748657
1000,5,15,4.6371598815917965,4.637724494934082,-0.00012175843764338294,7.1350014209747314
1000,6,0,4.6371598815917965,4.637979488372803,-0.0001767475786763967,7.137799501419067
1000,6,3,4.6371598815917965,4.637619953155518,-9.921408264310085e-05,7.133811950683594
1000,6,6,4.6371598815917965,4.643065185546875,-0.0012734743045027714,7.134164094924927
1000,6,9,4.6371598815917965,4.638350410461426,-0.0002567366448492075,7.133579254150391
1000,6,12,4.6371598815917965,4.637171688079834,-2.54606016168633e-06,7.131518840789795
1000,6,15,4.6371598815917965,4.634493598937988,0.0005749818254903823,7.133592128753662
1000,7,0,4.6371598815917965,4.636949691772461,4.5327274603965734e-05,7.135859727859497
1000,7,3,4.6371598815917965,4.749818668365479,-0.024294781644451303,7.132972240447998
1000,7,6,4.6371598815917965,4.636787567138672,8.028932851818403e-05,7.134627103805542
1000,7,9,4.6371598815917965,4.637779178619385,-0.00013355093276966898,7.132082939147949
1000,7,12,4.6371598815917965,4.637222118377686,-1.3421315520391953e-05,7.137967109680176
1000,7,15,4.6371598815917965,4.637542133331299,-8.243229676416115e-05,7.132107257843018
1000,8,0,4.6371598815917965,4.637842426300049,-0.00014719024697889733,7.1355602741241455
1000,8,3,4.6371598815917965,4.638311958312988,-0.0002484444682972563,7.136500597000122
1000,8,6,4.6371598815917965,4.6481258583068845,-0.002364804534478062,7.137190580368042
1000,8,9,4.6371598815917965,4.639796886444092,-0.000568668089871909,7.133939027786255
1000,8,12,4.6371598815917965,4.638409900665283,-0.0002695656620442959,7.13162088394165
1000,8,15,4.6371598815917965,4.63867639541626,-0.00032703505231372815,7.1344709396362305
1000,9,0,4.6371598815917965,4.636927318572998,5.01520380441202e-05,7.133462429046631
1000,9,3,4.6371598815917965,4.639667301177979,-0.000540723125837438,7.135908603668213
1000,9,6,4.6371598815917965,4.637248249053955,-1.9056375974686333e-05,7.138397932052612
1000,9,9,4.6371598815917965,4.63707368850708,1.8587473133900836e-05,7.134705543518066
1000,9,12,4.6371598815917965,4.642119541168213,-0.001069546813795341,7.135021209716797
1000,9,15,4.6371598815917965,4.639702167510986,-0.0005482420240203174,7.1352832317352295
1000,10,0,4.6371598815917965,4.63932731628418,-0.00046740564218791553,7.137857913970947
1000,10,3,4.6371598815917965,4.63775110244751,-0.0001274963276682048,7.1375346183776855
1000,10,6,4.6371598815917965,4.636987266540527,3.7224304461608887e-05,7.133363485336304
1000,10,9,4.6371598815917965,4.640895748138428,-0.0008056367781197132,7.136180639266968
1000,10,12,4.6371598815917965,4.637109470367432,1.0871142175792588e-05,7.138403415679932
1000,10,15,4.6371598815917965,4.63704008102417,2.583490125103205e-05,7.137408256530762
1000,11,0,4.6371598815917965,4.637514266967774,-7.642293667378267e-05,7.133953094482422
1000,11,3,4.6371598815917965,4.637104358673096,1.1973475169862776e-05,7.133342027664185
1000,11,6,4.6371598815917965,4.636870956420898,6.230649325794277e-05,7.139238357543945
1000,11,9,4.6371598815917965,4.6373694801330565,-4.5199765936917724e-05,7.133855581283569
1000,11,12,4.6371598815917965,4.6373026657104495,-3.0791286541530626e-05,7.134765863418579
1000,11,15,4.6371598815917965,4.637212390899658,-1.1323592285500548e-05,7.134897708892822
1000,12,0,4.6371598815917965,4.636599960327149,0.00012074659467110111,7.138802528381348
1000,12,3,4.6371598815917965,4.637231464385986,-1.5436775098937994e-05,7.135771751403809
1000,12,6,4.6371598815917965,4.637045669555664,2.4629738686817458e-05,7.134127616882324
1000,12,9,4.6371598815917965,4.6371903991699215,-6.581092501499914e-06,7.137778997421265
1000,12,12,4.6371598815917965,4.636900272369385,5.598453127364345e-05,7.135262966156006
1000,12,15,4.6371598815917965,4.637036781311036,2.6546481877749064e-05,7.133464813232422
1000,13,0,4.6371598815917965,4.637836780548096,-0.00014597274486613515,7.137951850891113
1000,13,3,4.6371598815917965,4.636836967468262,6.963618503141935e-05,7.135960817337036
1000,13,6,4.6371598815917965,4.63717212677002,-2.6406633663877296e-06,7.133596658706665
1000,13,9,4.6371598815917965,4.63686674118042,6.321550665969713e-05,7.139461517333984
1000,13,12,4.6371598815917965,4.636871700286865,6.214607912816508e-05,7.1327805519104
1000,13,15,4.6371598815917965,4.637196788787842,-7.959008744039765e-06,7.13658881187439
1000,14,0,4.6371598815917965,4.636859645843506,6.47456106661886e-05,7.13479471206665
1000,14,3,4.6371598815917965,4.636825981140137,7.200537833186738e-05,7.134691953659058
1000,14,6,4.6371598815917965,4.637054595947266,2.2704769130059783e-05,7.135730028152466
1000,14,9,4.6371598815917965,4.640626602172851,-0.0007475956554391594,7.136116981506348
1000,14,12,4.6371598815917965,4.6380221557617185,-0.0001859487686299107,7.1343834400177
1000,14,15,4.6371598815917965,4.638007659912109,-0.00018282274969165995,7.138495683670044
1000,15,0,4.6371598815917965,4.637184543609619,-5.31834537784357e-06,7.1347455978393555
1000,15,3,4.6371598815917965,4.636835308074951,6.999403193623437e-05,7.135124683380127
1000,15,6,4.6371598815917965,4.644395732879639,-0.0015604058243854845,7.136822938919067
1000,15,9,4.6371598815917965,4.63693660736084,4.8148918013930194e-05,7.135781764984131
1000,15,12,4.6371598815917965,4.636999492645264,3.4587754278134194e-05,7.135286808013916
1000,15,15,4.6371598815917965,4.636942024230957,4.698077409497525e-05,7.132719993591309
1000,16,0,4.6371598815917965,4.638014888763427,-0.00018438164597796807,7.138028144836426
1000,16,3,4.6371598815917965,4.637239189147949,-1.7102614138303546e-05,7.133892774581909
1000,16,6,4.6371598815917965,4.6372248077392575,-1.400127429695639e-05,7.138205051422119
1000,16,9,4.6371598815917965,4.6373105812072755,-3.249825740906886e-05,7.140885591506958
1000,16,12,4.6371598815917965,4.637104721069336,1.1895324696430449e-05,7.135092735290527
1000,16,15,4.6371598815917965,4.637446746826172,-6.186226951425241e-05,7.133791208267212
1000,17,0,4.6371598815917965,4.637368564605713,-4.500233316188039e-05,7.136193037033081
1000,17,3,4.6371598815917965,4.637076530456543,1.797460889460672e-05,7.134203910827637
1000,17,6,4.6371598815917965,4.639425506591797,-0.0004885803073114838,7.138287782669067
1000,17,9,4.6371598815917965,4.637040386199951,2.576909032614729e-05,7.135719537734985
1000,17,12,4.6371598815917965,4.637160968780518,-2.3445142048851683e-07,7.1394407749176025
1000,17,15,4.6371598815917965,4.636971569061279,4.060945391706025e-05,7.1371870040893555
1000,18,0,4.6371598815917965,4.637238521575927,-1.695865273979493e-05,7.135514497756958
1000,18,3,4.6371598815917965,4.636926689147949,5.028777307699428e-05,7.135108947753906
1000,18,6,4.6371598815917965,4.636749401092529,8.851980732797195e-05,7.132620334625244
1000,18,9,4.6371598815917965,4.63698076248169,3.8626899800860814e-05,7.135968208312988
1000,18,12,4.6371598815917965,4.637120208740234,8.555420251873274e-06,7.13688325881958
1000,18,15,4.6371598815917965,4.637183475494385,-5.08800714026809e-06,7.136761426925659
1000,19,0,4.6371598815917965,4.637242240905762,-1.7760723388491845e-05,7.13509464263916
1000,19,3,4.6371598815917965,4.637692794799805,-0.00011492232780759548,7.137979745864868
1000,19,6,4.6371598815917965,4.637986946105957,-0.00017835583315632051,7.1340436935424805
1000,19,9,4.6371598815917965,4.636950244903565,4.5207992302360726e-05,7.135056972503662
1000,19,12,4.6371598815917965,4.637363357543945,-4.387943425381963e-05,7.135341167449951
1000,19,15,4.6371598815917965,4.63677598953247,8.278603048606314e-05,7.132493495941162
1000,20,0,4.6371598815917965,4.637087993621826,1.550258602382275e-05,7.133066654205322
1000,20,3,4.6371598815917965,4.637168350219727,-1.826253169334777e-06,7.138264894485474
1000,20,6,4.6371598815917965,4.6371940231323245,-7.362597236206257e-06,7.133014917373657
1000,20,9,4.6371598815917965,4.63709924697876,1.307580816374143e-05,7.1357200145721436
1000,20,12,4.6371598815917965,4.637168636322022,-1.8879509114980315e-06,7.136751413345337
1000,20,15,4.6371598815917965,4.637857971191406,-0.00015054249097181053,7.138303756713867
1000,21,0,4.6371598815917965,4.637969436645508,-0.0001745799313337075,7.137152194976807
1000,21,3,4.6371598815917965,4.636984844207763,3.7746678678923106e-05,7.1375017166137695
1000,21,6,4.6371598815917965,4.636302070617676,0.0001849862838514361,7.135714292526245
1000,21,9,4.6371598815917965,4.637233448028565,-1.5864546111550813e-05,7.131426811218262
1000,21,12,4.6371598815917965,4.637181129455566,-4.5820856542229446e-06,7.135224342346191
1000,21,15,4.6371598815917965,4.636484069824219,0.00014573829344564663,7.1327903270721436
1000,22,0,4.6371598815917965,4.637005481719971,3.3296214874661203e-05,7.137290716171265
1000,22,3,4.6371598815917965,4.637682399749756,-0.00011268064317419545,7.133815765380859
1000,22,6,4.6371598815917965,4.637152137756348,1.6699522220870523e-06,7.131871938705444
1000,22,9,4.6371598815917965,4.651272106170654,-0.0030432904922858377,7.134950160980225
1000,22,12,4.6371598815917965,4.633219928741455,0.0008496478342233023,7.1329665184021
1000,22,15,4.6371598815917965,4.637146587371826,2.8668884208586402e-06,7.132371425628662
1000,23,0,4.6371598815917965,4.637433109283447,-5.8921343802491414e-05,7.132282733917236
1000,23,3,4.6371598815917965,4.639923839569092,-0.0005960454346781716,7.135105133056641
1000,23,6,4.6371598815917965,4.636648654937744,0.00011024563894847959,7.133620738983154
1000,23,9,4.6371598815917965,4.648134689331055,-0.0023667089381208288,7.1350226402282715
1000,23,12,4.6371598815917965,4.637335624694824,-3.7898866443066256e-05,7.13755202293396
1000,23,15,4.6371598815917965,4.6392207527160645,-0.0004444252898091946,7.13547945022583
143000,0,0,2.5783690357208253,2.580624942779541,-0.0008749356773457038,7.02627158164978
143000,0,3,2.5783690357208253,2.578970184326172,-0.0002331507231968862,7.0438268184661865
143000,0,6,2.5783690357208253,2.5973922920227053,-0.007378019220030577,7.056731462478638
143000,0,9,2.5783690357208253,2.5796920680999755,-0.0005131276247972539,7.056056499481201
143000,0,12,2.5783690357208253,2.5800353717803954,-0.0006462752369752477,7.059555292129517
143000,0,15,2.5783690357208253,2.584715223312378,-0.002461318571404003,7.059962511062622
143000,1,0,2.5783690357208253,2.5842202377319334,-0.002269342336199874,7.07879376411438
143000,1,3,2.5783690357208253,2.5823848819732667,-0.001557514148209835,7.0735838413238525
143000,1,6,2.5783690357208253,2.582926559448242,-0.0017675994647300595,7.089427471160889
143000,1,9,2.5783690357208253,2.585570116043091,-0.002792881943004074,7.095871925354004
143000,1,12,2.5783690357208253,2.5783854389190672,-6.361850462315711e-06,7.096520662307739
143000,1,15,2.5783690357208253,2.5960577011108397,-0.006860408709907265,7.098370552062988
143000,2,0,2.5783690357208253,2.5985383415222167,-0.007822505437338517,7.104610443115234
143000,2,3,2.5783690357208253,2.5842220306396486,-0.0022700377012505484,7.105204820632935
143000,2,6,2.5783690357208253,2.577793951034546,0.00022304203871209626,7.112565040588379
143000,2,9,2.5783690357208253,2.6770122909545897,-0.038258004912080805,7.111440420150757
143000,2,12,2.5783690357208253,2.57891450881958,-0.00021155741912721898,7.106166839599609
143000,2,15,2.5783690357208253,2.582009811401367,-0.001412045998886287,7.110162973403931
143000,3,0,2.5783690357208253,2.582495803833008,-0.0016005343125868301,7.111783027648926
143000,3,3,2.5783690357208253,2.582566499710083,-0.0016279531483297611,7.113129377365112
143000,3,6,2.5783690357208253,2.5801301765441895,-0.0006830445133979235,7.119309902191162
143000,3,9,2.5783690357208253,2.5802035236358645,-0.0007114916017156908,7.115333318710327
143000,3,12,2.5783690357208253,2.579311809539795,-0.00036564735532747304,7.1184470653533936
143000,3,15,2.5783690357208253,2.5882781505584718,-0.003843171671845723,7.116431713104248
143000,4,0,2.5783690357208253,2.5786382293701173,-0.00010440462383878747,7.122143268585205
143000,4,3,2.5783690357208253,2.5816064453125,-0.0012556036575150937,7.1208484172821045
143000,4,6,2.5783690357208253,2.5827048015594483,-0.001681592424728606,7.121649503707886
143000,4,9,2.5783690357208253,2.579845790863037,-0.0005727477803807988,7.1212286949157715
143000,4,12,2.5783690357208253,2.5804693794250486,-0.0008146016629602092,7.1194939613342285
143000,4,15,2.5783690357208253,2.6093775463104247,-0.012026405126654214,7.126078128814697
143000,5,0,2.5783690357208253,2.583030309677124,-0.0018078381689048736,7.122689247131348
143000,5,3,2.5783690357208253,2.5837049102783203,-0.0020694766666724362,7.1242516040802
143000,5,6,2.5783690357208253,2.5860022258758546,-0.002960472317685624,7.12392783164978
143000,5,9,2.5783690357208253,2.581916627883911,-0.0013759055100093843,7.121724367141724
143000,5,12,2.5783690357208253,2.5824324607849123,-0.0015759672133011675,7.124141693115234
143000,5,15,2.5783690357208253,2.581401891708374,-0.0011762691629984843,7.121668100357056
143000,6,0,2.5783690357208253,2.5815212726593018,-0.001222570118863989,7.122216463088989
143000,6,3,2.5783690357208253,2.585579195022583,-0.0027964031532600243,7.122131824493408
143000,6,6,2.5783690357208253,2.578367004394531,7.878338073955847e-07,7.128281354904175
143000,6,9,2.5783690357208253,2.5812917232513426,-0.001133541199892742,7.122019052505493
143000,6,12,2.5783690357208253,2.579598455429077,-0.000476820692158184,7.122754096984863
143000,6,15,2.5783690357208253,2.5819242000579834,-0.001378842317722829,7.120551109313965
143000,7,0,2.5783690357208253,2.5816907596588137,-0.0012883043086420365,7.123043775558472
143000,7,3,2.5783690357208253,2.580346174240112,-0.0007668175082369788,7.12137770652771
143000,7,6,2.5783690357208253,2.5847176265716554,-0.00246225065647176,7.125443458557129
143000,7,9,2.5783690357208253,2.579581537246704,-0.0004702591091813367,7.12344765663147
143000,7,12,2.5783690357208253,2.58141619682312,-0.0011818172884017566,7.124296426773071
143000,7,15,2.5783690357208253,2.594714870452881,-0.006339602479551965,7.122243642807007
143000,8,0,2.5783690357208253,2.581361846923828,-0.0011607381106196798,7.123980522155762
143000,8,3,2.5783690357208253,2.5864586639404297,-0.0031374982043029234,7.123815298080444
143000,8,6,2.5783690357208253,2.582958974838257,-0.0017801715168939574,7.123157501220703
143000,8,9,2.5783690357208253,2.584787893295288,-0.002489503048452524,7.126525640487671
143000,8,12,2.5783690357208253,2.5813104724884033,-0.0011408129429213527,7.125572443008423
143000,8,15,2.5783690357208253,2.5836524963378906,-0.00204914833519486,7.122838020324707
143000,9,0,2.5783690357208253,2.586300811767578,-0.0030762764898529396,7.125333547592163
143000,9,3,2.5783690357208253,2.583555383682251,-0.00201148396120715,7.123127222061157
143000,9,6,2.5783690357208253,2.5852258586883545,-0.0026593644557991953,7.122490644454956
143000,9,9,2.5783690357208253,2.5871227741241456,-0.003395068076774753,7.126413583755493
143000,9,12,2.5783690357208253,2.580691862106323,-0.0009008898079821846,7.1271679401397705
143000,9,15,2.5783690357208253,2.585930070877075,-0.0029324875731514626,7.1260621547698975
143000,10,0,2.5783690357208253,2.582141876220703,-0.0014632662926092914,7.122767210006714
143000,10,3,2.5783690357208253,2.5861576843261718,-0.0030207656458180374,7.122546195983887
143000,10,6,2.5783690357208253,2.5822498035430907,-0.0015051250494018198,7.125239372253418
143000,10,9,2.5783690357208253,2.5800494861602785,-0.0006517493873732464,7.124926567077637
143000,10,12,2.5783690357208253,2.5851227951049807,-0.0026193920616438137,7.125107049942017
143000,10,15,2.5783690357208253,2.5858560466766356,-0.002903777873564621,7.1252121925354
143000,11,0,2.5783690357208253,2.58105281829834,-0.0010408838069079062,7.125035524368286
143000,11,3,2.5783690357208253,2.58074782371521,-0.0009225940745598484,7.127817153930664
143000,11,6,2.5783690357208253,2.5816321563720703,-0.001265575488239895,7.124939680099487
143000,11,9,2.5783690357208253,2.5809175682067873,-0.0009884281305951618,7.126971244812012
143000,11,12,2.5783690357208253,2.5820993614196777,-0.001446777263910738,7.123943328857422
143000,11,15,2.5783690357208253,2.589997577667236,-0.004510037851567622,7.123786687850952
143000,12,0,2.5783690357208253,2.5868853664398195,-0.0033029913875820644,7.1260435581207275
143000,12,3,2.5783690357208253,2.5821342945098875,-0.001460325786145488,7.122476577758789
143000,12,6,2.5783690357208253,2.584563694000244,-0.0024025491283822245,7.126525402069092
143000,12,9,2.5783690357208253,2.582084560394287,-0.0014410368034934787,7.130704402923584
143000,12,12,2.5783690357208253,2.5886420440673827,-0.003984304885854105,7.1269214153289795
143000,12,15,2.5783690357208253,2.5791008186340334,-0.0002838162043795631,7.128434419631958
143000,13,0,2.5783690357208253,2.5834172058105467,-0.001957892768561759,7.122636556625366
143000,13,3,2.5783690357208253,2.579110689163208,-0.0002876444109076833,7.12529993057251
143000,13,6,2.5783690357208253,2.579732713699341,-0.0005288916984431267,7.127859354019165
143000,13,9,2.5783690357208253,2.582194309234619,-0.0014836020215874123,7.1272876262664795
143000,13,12,2.5783690357208253,2.5833320903778074,-0.0019248814224122881,7.126740455627441
143000,13,15,2.5783690357208253,2.579320402145386,-0.0003689799293197949,7.127903938293457
143000,14,0,2.5783690357208253,2.581201114654541,-0.001098399373588497,7.1257805824279785
143000,14,3,2.5783690357208253,2.580246686935425,-0.0007282321454324156,7.126546621322632
143000,14,6,2.5783690357208253,2.582030382156372,-0.0014200242032161308,7.12516713142395
143000,14,9,2.5783690357208253,2.582344665527344,-0.0015419165183261294,7.120716571807861
143000,14,12,2.5783690357208253,2.5844756412506102,-0.0023683985671499206,7.125830173492432
143000,14,15,2.5783690357208253,2.589744462966919,-0.0044118693206822365,7.1258323192596436
143000,15,0,2.5783690357208253,2.5827313899993896,-0.0016919045404781136,7.1248273849487305
143000,15,3,2.5783690357208253,2.5803919506072996,-0.0007845715095274506,7.126751899719238
143000,15,6,2.5783690357208253,2.5932716369628905,-0.005779855806365961,7.123925685882568
143000,15,9,2.5783690357208253,2.580268869400024,-0.0007368354385576739,7.127425909042358
143000,15,12,2.5783690357208253,2.5799232292175294,-0.0006027816325639158,7.126467227935791
143000,15,15,2.5783690357208253,2.5806675338745118,-0.0008914542960464354,7.127243757247925
143000,16,0,2.5783690357208253,2.5813875675201414,-0.0011707136400946672,7.122966289520264
143000,16,3,2.5783690357208253,2.584984636306763,-0.002565808266498967,7.128066539764404
143000,16,6,2.5783690357208253,2.5862244033813475,-0.003046642102698886,7.1271116733551025
143000,16,9,2.5783690357208253,2.5792985439300535,-0.00036050239370344995,7.125601768493652
143000,16,12,2.5783690357208253,2.5797371578216555,-0.000530615316068465,7.126918077468872
143000,16,15,2.5783690357208253,2.584972372055054,-0.0025610516736532763,7.126153230667114
143000,17,0,2.5783690357208253,2.5791672801971437,-0.0003095927950031462,7.126596212387085
143000,17,3,2.5783690357208253,2.5875707340240477,-0.0035688057744029983,7.123338222503662
143000,17,6,2.5783690357208253,2.5907229232788085,-0.004791357399515712,7.122985601425171
143000,17,9,2.5783690357208253,2.578878307342529,-0.00019751696310668467,7.12639307975769
143000,17,12,2.5783690357208253,2.5786609268188476,-0.0001132076494785775,7.126624822616577
