model,checkpoint,class,n,nu_MoM,nu_MLE,sigma,delta_aic_t_minus_n
410M,512,never,49,4.9335026547083665,2.011521427973184,6.117473135380138e-05,36.16784203971213
410M,512,born,6,13.604102274149067,2.2664814283825256,0.00023222703456126558,0.35767058162220167
410M,512,emergent,56,inf,1.9937162525298282,3.5774683524540353e-05,-15.58300552612559
410M,512,growing,33,inf,2.0385801671535546,0.00015621228512853488,-7.691588127018804
410M,1000,never,49,4.30297682579453,2.0044398912199086,0.00010744123889858126,48.53033538242801
410M,1000,born,6,inf,0.41930177580709405,9.241440495247937e-05,2.9279077677573326
410M,1000,emergent,56,4.264458869447718,2.0015652129543735,7.367582231281332e-05,89.85449281503838
410M,1000,growing,33,5.3142894235666365,2.0072593834749473,0.00020174286318473222,50.332922152145386
410M,2000,never,49,4.464616914829846,1.9960302812502113,0.00011458995568340453,54.94225713953881
410M,2000,born,6,inf,3361856.3342698338,0.0028596574717324836,-2.000001403922063
410M,2000,emergent,56,5.4432458655386515,2.0205093235424805,0.00021084416927118915,42.28903952304961
410M,2000,growing,33,4.6395438550218095,2.065790401521166,0.00043376639974516593,49.15851106041424
410M,4000,never,49,4.252887916875215,2.008405507651335,0.00013091281859693157,68.1643316368611
410M,4000,born,6,inf,2.5825737176061376,0.0018780356274752132,-2.8843738700858523
410M,4000,emergent,56,5.103464456539045,2.086177630865712,0.00040396674064559104,29.064255720282517
410M,4000,growing,33,4.814749806436999,2.1570785249437487,0.0007097594549615074,24.60760857152519
410M,8000,never,49,4.3438213449301495,2.031791691755762,0.00017344076700493514,38.05553029508019
410M,8000,born,6,inf,2.5150069696623545,0.0013216358412641688,-3.102178775043363
410M,8000,emergent,56,4.1230148604602865,2.1707544277218283,0.0005482671484083003,206.00605993769835
410M,8000,growing,33,5.1646316832335,2.2553227888489857,0.000628019703839474,16.72427760538983
410M,16000,never,49,4.369916106939764,2.0470097101542253,0.0002474441214503156,43.35615949223791
410M,16000,born,6,inf,2.524722423939273,0.001025421423562295,-3.3906271938690153
410M,16000,emergent,56,4.11911672179196,2.273077264286373,0.0006372347469946792,250.6763949410563
410M,16000,growing,33,5.558872982911839,2.323538660375198,0.0006929419290349622,9.883373384739116
410M,64000,never,49,4.173007881000233,2.04608469567155,0.0001325292440511264,93.62086324654251
410M,64000,born,6,inf,2.828517747054151,0.0009106543075605121,-2.530952468033071
410M,64000,emergent,56,4.1181133182805505,2.384301525373276,0.0005677879078237013,311.9077825000154
410M,64000,growing,33,6.805889857059777,2.4295579550750412,0.0007960305508660926,6.342568184981246
410M,143000,never,49,inf,2.0330184430171365,0.0001261481006127754,-10.252709238459374
410M,143000,born,6,16.753768117865363,3.104145337963475,0.0012167692767388284,-0.655166797844835
410M,143000,emergent,56,4.118503399844491,2.5308128431567525,0.0007358488762680983,293.12295701810774
410M,143000,growing,33,4.296470183650102,2.634458820057171,0.001256807740315541,45.897090817117316
160M,512,never,14,5.340581143773467,2.0587008585366853,0.00028418040495304894,10.267199175469642
160M,512,born,40,5.510842337228398,2.384053419643955,0.0006967408146713481,22.055645180969407
160M,512,emergent,28,inf,1.9782998385906374,3.626106203479696e-05,-8.089382383441034
160M,512,growing,62,inf,2.079335222002161,0.00017758530790090027,-7.263186688787641
160M,1000,never,14,4.814381951571573,1.9764604663014995,0.0003624208975353978,31.6991483152009
160M,1000,born,40,4.257563532132776,0.8815767813332912,0.0014758147537366042,85.30416051356593
160M,1000,emergent,28,6.549035568504098,1.9895068692705151,0.00017495669914120623,13.624981148532811
160M,1000,growing,62,4.305009109131868,2.031830410007969,0.00029771122939786896,67.35149805988056
160M,2000,never,14,6.147484914722851,2.0371646169761988,0.00043333487001484886,15.692154167271596
160M,2000,born,40,4.21503092318232,1.2765243165388762,0.0021912836427179076,80.33228467125093
160M,2000,emergent,28,6.083661122164593,2.021878903347674,0.000384901601854266,24.45926410973152
160M,2000,growing,62,4.817678158259171,2.1232053337169616,0.0006340011426352888,67.34521948844906
160M,4000,never,14,10.517127804169242,2.0949917632380117,0.0006791792234019768,6.075966533125921
160M,4000,born,40,4.214027045011712,1.5592505686314135,0.0027100962945421736,81.12141930459663
160M,4000,emergent,28,7.136146878492731,0.699654679250119,0.00037119570872798163,30.386837622615815
160M,4000,growing,62,4.918406841588335,2.413349789649432,0.001285570663091554,36.252039754377506
160M,8000,never,14,8.735216031726846,2.3874443763783395,0.0007582068293386075,1.7641346482424751
160M,8000,born,40,4.187717299737581,1.8388287334671674,0.002129578933562949,100.70320989897169
160M,8000,emergent,28,4.840817065902849,0.7999924923592938,0.0006765014385514063,36.28039276928163
160M,8000,growing,62,4.85619257988399,1.3760838704332374,0.0011573860747957875,46.55539700586337
160M,16000,never,14,inf,2.6191184185491347,0.0012060398444221736,-2.4845752589085066
160M,16000,born,40,4.185909886160418,1.7865699817751495,0.0021872037715279357,104.77202641059506
160M,16000,emergent,28,5.718831750818113,0.8355178866469257,0.0006373789331290895,32.97898092730267
160M,16000,growing,62,4.896950968118211,1.1056207223151626,0.001229701245866069,51.82868147675117
160M,64000,never,14,inf,2.35621577765325,0.0007660572857744361,-3.200971946892082
160M,64000,born,40,4.192142093459904,1.7750901054201318,0.002260621519941327,95.92512247139459
160M,64000,emergent,28,5.6138191450621875,3.2463992768101466,0.0019237468848209709,6.551680636758164
160M,64000,growing,62,4.197042611257638,1.2663662620897846,0.0015819265997409114,87.55895016818386
160M,143000,never,14,inf,2.054166640517435,0.00013698003712970858,-5.544162050227271
160M,143000,born,40,4.195018251192581,2.234001365346781,0.003437081114824472,85.36282900663218
160M,143000,emergent,28,6.111549622733167,2.8675464858407453,0.0015514328783861235,4.584728614443151
160M,143000,growing,62,5.9024117946272145,1.526175306827097,0.0022595105175795896,27.16448151097262
